run_dir,model_key,model_name,model_id,device,dtype,total_tokens,prompt_tokens,response_tokens,tokens_per_sec,avg_ram_gb,avg_power_watts,tps_per_watt,joules_per_token,total_energy_joules,latency_ms_mean,duration_seconds,load_time_seconds,num_images
dell_output/gemma3n/test_bf16_500img_20260108_231557,gemma3n,Gemma3N,google/gemma-3n-E4B-it,Dell,bf16,869134,719500,149634,72.41491933938448,23.11164328125,25.721444,2.815352020648004,0.3472543244194799,301810.54000000027,4700.713,12002.14,,500
dell_output/internvl/test_bf16_500_20260116_071428,internvl,Internvl,OpenGVLab/InternVL2-2B,Dell,bf16,135809,0,135809,22.4394604311792,20.6001580078125,44.723296000000005,0.5017398635194329,1.931153090001398,262267.96999999986,2329.657,6052.24,,500
dell_output/internvl/test_fp16_500_20260114_214335,internvl,Internvl,OpenGVLab/InternVL2-2B,Dell,fp16,135760,0,135760,22.901329950540145,20.82313046875,45.012916,0.5087724143563627,1.9017292280495008,258178.7600000002,2279.697,5928.04,,500
dell_output/llava/test_bf16_500img_20260109_171444,llava,Llava,ICTNLP/llava-mini-llama-3.1-8b,Dell,bf16,211293,0,211293,10.357962046346184,26.572476992187497,39.252324,0.2638814977259992,3.74770233751236,791863.2699999991,8072.148,20399.09,,500
dell_output/llava/test_fp16_500_20260116_123830,llava,Llava,ICTNLP/llava-mini-llama-3.1-8b,Dell,fp16,211293,0,211293,10.35451038891222,26.306490000000004,39.358636,0.2630810272213758,3.758377892310681,794118.9400000008,8073.569,20405.89,,500
dell_output/moondream2/moondream2_bf16_500img_20260111_185915,moondream2,Moondream2,vikhyatk/moondream2,Dell,bf16,141078,45500,95578,55.85190405118115,12.00093046875,41.502736,1.3457402917046517,0.704662243581563,99412.33999999976,953.583,2525.93,,500
dell_output/moondream2/moondream2_fp16_500img_20260111_131138,moondream2,Moondream2,vikhyatk/moondream2,Dell,fp16,140952,45500,95452,55.85044418204728,12.76503734375,41.625536,1.3417351354237763,0.7062534763607475,99547.84000000008,951.723,2523.74,,500
dell_output/phi/phi_bf16_500img_20260110_223305,phi,Phi,microsoft/Phi-3.5-vision-instruct,Dell,bf16,267371,90000,177371,13.653540347677064,25.84760953125,32.385315999999996,0.4215966380466093,2.296286957074632,613960.5400000014,7739.104,19582.54,,500
dell_output/phi/phi_fp16_500img_20260111_071845,phi,Phi,microsoft/Phi-3.5-vision-instruct,Dell,fp16,266948,90000,176948,13.740014030926716,22.669709375,32.295484,0.425446914835731,2.2707192786610095,606163.9699999992,7680.131,19428.51,,500
dell_output/smolvlm2/smol_bf16_500img_20260112_092951,smolvlm2,Smolvlm2,HuggingFaceTB/SmolVLM2-2.2B-Instruct,Dell,bf16,2957026,2864930,92096,795.645915119292,13.23003421875,42.902784,18.54532132738267,0.0515268584043563,152366.2600000001,1419.534,3716.51,,500
dell_output/smolvlm2/smol_fp16_500img_20260111_232343,smolvlm2,Smolvlm2,HuggingFaceTB/SmolVLM2-2.2B-Instruct,Dell,fp16,2961196,2864930,96266,773.2995586660747,13.2041106640625,42.898247999999995,18.026366919834928,0.0529208029458369,156708.87000000043,1462.874,3829.3,,500
orin_output/internvl2_2b/internvl2_fp16_500img_20260121_154647,internvl2_2b,Internvl2 2B,OpenGVLab/InternVL2-2B,Orin,fp16,192678,57000,135678,10.624619176677207,18.936911835937497,21.7279984,0.4889828773494943,1.4884101266935443,286783.88639105874,5201.407,18135.05,,500
orin_output/internvl2_2b/internvl2_fp16_500img_20260126_230301,internvl2_2b,Internvl2 2B,OpenGVLab/InternVL2-2B,Orin,fp16,192678,57000,135678,10.668392703691564,19.2119642578125,21.8778596,0.4876342063961121,1.4911946327706105,287320.39945297566,5171.154,18060.64,,500
orin_output/moondream2/moondream2_bf16_500img_20260118_161628,moondream2,Moondream2,vikhyatk/moondream2,Orin,bf16,140863,45500,95363,13.064038952005564,12.1656413671875,14.1936992,0.9204111463772294,0.5703933258522111,80347.31505952001,2276.345,10782.5,,500
orin_output/moondream2/moondream2_fp16_500img_20260119_122859,moondream2,Moondream2,vikhyatk/moondream2,Orin,fp16,141143,45500,95643,12.891313938014502,12.2640416015625,13.865462,0.9297428342463094,0.5717079875466163,80692.58048629206,2343.293,10948.69,,500
orin_output/phi/phi_bf16_500img_20260125_151435,phi,Phi,microsoft/Phi-3.5-vision-instruct,Orin,bf16,243359,90000,153359,8.528961825238975,23.89141328125,22.0413216,0.3869532861967303,2.1110205909787596,513735.8599999999,9376.153,28533.25,,500
orin_output/phi/phi_fp16_500img_20260126_085848,phi,Phi,microsoft/Phi-3.5-vision-instruct,Orin,fp16,243597,90000,153597,8.263819933352625,20.50564921875,20.611161600000003,0.4009390685361772,2.049758330357105,499314.97999999975,9755.71,29477.53,,500
orin_output/smolvlm2/smolvlm2_fp16_500img_20260128_102624,smolvlm2,Smolvlm2,HuggingFaceTB/SmolVLM2-2.2B-Instruct,Orin,fp16,2961306,2864930,96376,178.15420989462854,12.3133876171875,20.7626948,8.58049552867427,0.0794419140672224,235251.81677875016,4614.552,16622.15,,500
thor_output/gemma3n/gemma3n_bf16_500img_20260119_162002,gemma3n,Gemma3N,google/gemma-3n-E4B-it,Thor,bf16,868897,719500,149397,79.12709463502057,25.7953130859375,17.135668,4.61768368965952,0.2151386873242746,186933.36000000025,4385.366,10981.03,,500
thor_output/internvl/internvl_bf16_500img_20260117_141836,internvl,Internvl,OpenGVLab/InternVL2-2B,Thor,bf16,185571,49500,136071,27.727747470717706,24.3725925,31.629104,0.8766529545294013,1.1452112129589214,212517.99,2657.577,6692.61,,500
thor_output/internvl/internvl_fp16_500img_20260116_150642,internvl,Internvl,OpenGVLab/InternVL2-2B,Thor,fp16,185254,49500,135754,28.700014252870712,25.0150511328125,30.963852000000003,0.9268877222662965,1.0829403413691483,200619.03000000023,2563.407,6454.84,,500
thor_output/llava/llava_fp16_500img_20260118_162325,llava,Llava,ICTNLP/llava-mini-llama-3.1-8b,Thor,fp16,264507,53500,211007,14.36002925133838,25.467862578125,20.68195434521426,0.6943265134255191,1.4342822307160124,379377.6900000003,7358.925,18419.67,,500
thor_output/llava/test_bf16_500img_20260109_164224,llava,Llava,ICTNLP/llava-mini-llama-3.1-8b,Thor,bf16,213534,0,213534,11.52264662459097,26.2641246875,20.22095276220977,0.5698369785090068,1.7492827840062948,373531.35000000015,7403.701,18531.68,,500
thor_output/moondream2/moondream_bf16_500img_20260117_173741,moondream2,Moondream2,vikhyatk/moondream2,Thor,bf16,140867,45500,95367,62.43855519948229,24.877331171875,27.21204,2.2945194553397057,0.428642194410331,60381.5400000001,894.592,2256.09,,500
thor_output/moondream2/moondream_fp16_500img_20260116_073406,moondream2,Moondream2,vikhyatk/moondream2,Thor,fp16,141002,45500,95502,62.51557325080804,24.7593580078125,27.245247999999997,2.294549612864895,0.4287503723351443,60454.66000000002,894.399,2255.47,,500
thor_output/phi/phi_bf16_500img_20260114_132153,phi,Phi,microsoft/Phi-3.5-vision-instruct,Thor,bf16,267231,90000,177231,17.0634370791704,25.623240625,24.498908,0.6964978634627469,1.3956801793205127,372969.0099999999,6206.209,15661.03,,500
thor_output/phi/phi_fp16_500img_20260114_212019,phi,Phi,microsoft/Phi-3.5-vision-instruct,Thor,fp16,266573,90000,176573,16.843841897013423,25.0965329296875,24.415336,0.6898877777890676,1.4096855270413748,375784.1000000005,6273.467,15826.14,,500
thor_output/smolvlm2/smolvlm_bf16_500img_20260119_141111,smolvlm2,Smolvlm2,HuggingFaceTB/SmolVLM2-2.2B-Instruct,Thor,bf16,2956750,2864930,91820,554.0917617560028,26.6396778515625,29.502568,18.78113667108581,0.0512397395789295,151503.1,2078.687,5336.21,,500
thor_output/smolvlm2/smolvlm_fp16_500img_20260119_123729,smolvlm2,Smolvlm2,HuggingFaceTB/SmolVLM2-2.2B-Instruct,Thor,fp16,2961161,2864930,96231,542.6761035738438,25.41417921875,29.026312,18.696006009094223,0.05138527084478,152160.0599999998,2126.029,5456.59,,500
